 GROUP;NAME;H(MODE);S(AVARAGE);V(AVARAGE) 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (1).jpg;334;30;78 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (1).TIF;342;44;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (10).jpg;331;26;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (10).TIF;346;47;63 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (11).jpg;339;19;64 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (11).TIF;346;48;63 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (12).jpg;339;26;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (12).TIF;346;47;63 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (13).jpg;320;27;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (13).TIF;347;47;64 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (14).jpg;339;29;74 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (14).TIF;343;46;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (15).jpg;339;29;80 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (15).TIF;341;38;70 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (16).jpg;343;34;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (16).TIF;342;42;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (17).jpg;343;34;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (17).TIF;343;44;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (18).jpg;343;33;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (18).TIF;342;43;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (19).jpg;347;40;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (2).jpg;339;31;72 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (2).TIF;338;38;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (20).jpg;343;33;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (21).jpg;343;36;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (22).jpg;339;27;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (23).jpg;339;26;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (24).jpg;343;36;81 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (25).jpg;347;44;79 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (26).jpg;339;25;72 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (27).jpg;339;25;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (28).jpg;339;25;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (29).jpg;339;26;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (3).jpg;339;29;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (3).TIF;337;35;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (30).jpg;339;19;70 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (31).jpg;350;33;84 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (32).jpg;343;33;74 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (4).jpg;339;26;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (4).TIF;341;41;61 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (5).jpg;339;27;70 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (5).TIF;343;43;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (6).jpg;327;29;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (6).TIF;342;41;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (7).jpg;334;35;68 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (7).TIF;344;46;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (8).jpg;339;31;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (8).TIF;344;45;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (9).jpg;339;27;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (9).TIF;340;40;73 
 H&E;H&E-NORMAL  GLOMERULUS    (100).jpg;345;29;76 
 H&E;H&E-NORMAL  GLOMERULUS    (101).jpg;339;26;73 
 H&E;H&E-NORMAL  GLOMERULUS    (102).jpg;339;25;73 
 H&E;H&E-NORMAL  GLOMERULUS    (103).jpg;345;27;75 
 H&E;H&E-NORMAL  GLOMERULUS    (104).jpg;339;23;74 
 H&E;H&E-NORMAL  GLOMERULUS    (105).jpg;345;27;75 
 H&E;H&E-NORMAL  GLOMERULUS    (106).jpg;343;37;69 
