 GROUP;NAME;H(AVARAGE);S(AVARAGE);V(AVARAGE);H(MEDIAN);S(MEDIAN);V(MEDIAN);H(MODE);S(MODE);V(MODE) 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (1).jpg;281;23;78;325;25;78;334;28;100 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (1).TIF;332;39;57;339;42;59;342;44;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (10).jpg;263;21;68;325;22;68;331;5;65 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (10).TIF;330;41;61;343;44;62;346;46;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (11).jpg;267;19;59;325;19;58;339;3;56 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (11).TIF;325;41;61;343;45;62;346;52;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (12).jpg;271;21;76;331;23;75;339;9;73 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (12).TIF;328;41;61;343;44;62;346;52;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (13).jpg;286;21;70;314;24;69;320;7;67 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (13).TIF;333;41;61;344;45;62;347;52;62 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (14).jpg;288;24;72;327;27;72;339;34;71 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (14).TIF;330;41;58;341;45;60;343;50;60 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (15).jpg;302;27;78;336;29;78;339;36;76 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (15).TIF;332;34;68;339;36;69;341;40;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (16).jpg;287;26;72;337;31;75;343;3;75 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (16).TIF;336;38;66;341;41;67;342;42;69 
 H&E;H&E-MEMBRANOUS    GLOMERULUS  (17).jpg;313;31;79;343;33;81;343;36;82 
