 GROUP;NAME;L(AVARAGE);A(AVARAGE);B(AVARAGE);L(MEDIAN);A(MEDIAN);B(MEDIAN);L(MODE);A(MODE);B(MODE) 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (1).jpg;68;18;-6;66;22;-4;99;24;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (1).TIF;45;26;-2;44;28;-1;43;30;0 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (10).jpg;62;14;-4;60;17;-4;52;25;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (10).TIF;47;28;1;46;30;2;44;33;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (11).jpg;54;12;-4;53;14;-4;74;1;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (11).TIF;47;28;1;45;31;2;43;35;3 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (12).jpg;68;15;-2;65;19;-2;60;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (12).TIF;47;28;1;45;30;2;44;34;3 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (13).jpg;64;15;-8;60;20;-8;55;24;-8 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (13).TIF;47;28;2;46;30;2;44;35;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (14).jpg;63;19;-5;61;22;-4;57;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (14).TIF;45;27;0;44;30;1;43;33;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (15).jpg;66;22;-2;64;25;-1;60;27;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (15).TIF;55;26;-2;55;27;-1;54;30;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (16).jpg;63;19;-2;61;24;0;87;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (16).TIF;52;28;-1;51;30;0;49;32;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (17).jpg;65;25;1;64;28;2;62;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (17).TIF;50;29;-1;49;31;1;48;34;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (18).jpg;71;18;1;69;22;2;62;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (18).TIF;51;29;-1;50;31;0;48;34;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (19).jpg;62;28;2;61;31;3;58;36;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (2).jpg;62;18;-4;59;22;-3;55;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (2).TIF;48;23;-3;47;25;-2;46;28;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (20).jpg;68;21;1;66;25;2;60;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (21).jpg;59;24;-1;57;27;0;57;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (22).jpg;66;16;-2;66;20;0;88;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (23).jpg;66;16;-2;65;20;0;87;27;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (24).jpg;64;25;2;62;29;3;59;29;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (25).jpg;63;25;4;58;33;6;53;38;7 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (26).jpg;63;15;-1;63;18;0;61;19;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (27).jpg;62;13;-2;61;16;-1;59;18;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (28).jpg;62;14;-1;61;17;1;59;18;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (29).jpg;60;17;-1;59;19;0;56;21;0 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (3).jpg;66;11;-1;64;14;0;90;-4;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (3).TIF;50;21;-4;49;23;-3;48;24;-3 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (30).jpg;61;12;-4;60;14;-3;56;18;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (31).jpg;74;16;5;72;21;6;95;29;5 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (32).jpg;66;16;0;64;21;1;84;26;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (4).jpg;60;15;-4;58;17;-4;54;21;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (4).TIF;46;24;-3;46;26;-1;45;27;-1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (5).jpg;64;12;-3;62;15;-2;87;-3;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (5).TIF;47;25;-2;46;27;0;44;31;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (6).jpg;65;15;-6;62;18;-6;53;24;-8 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (6).TIF;46;25;-2;46;27;0;44;28;0 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (7).jpg;62;17;-6;58;21;-5;52;28;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (7).TIF;45;27;0;44;29;1;43;32;2 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (8).jpg;55;15;-3;52;18;-3;45;23;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (8).TIF;45;28;0;45;30;1;43;33;1 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (9).jpg;69;15;-1;66;19;-1;60;26;-4 
   H&E;H&E-MEMBRANOUS        GLOMERULUS    (9).TIF;56;29;-2;54;31;-1;51;35;0 
   H&E;H&E-NORMAL    GLOMERULUS        (100).jpg;66;17;1;65;20;2;59;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (101).jpg;68;14;2;67;16;3;90;-2;10 
   H&E;H&E-NORMAL    GLOMERULUS        (102).jpg;70;12;3;69;15;3;91;-2;10 
   H&E;H&E-NORMAL    GLOMERULUS        (103).jpg;68;15;1;67;17;2;62;23;1 
   H&E;H&E-NORMAL    GLOMERULUS        (104).jpg;71;11;2;71;13;3;92;-2;1 
   H&E;H&E-NORMAL    GLOMERULUS        (105).jpg;68;14;2;68;16;2;62;19;1 
   H&E;H&E-NORMAL    GLOMERULUS        (106).jpg;58;20;0;56;24;2;53;28;2 
   H&E;H&E-NORMAL    GLOMERULUS        (107).jpg;61;19;1;59;22;2;54;26;6 
   H&E;H&E-NORMAL    GLOMERULUS        (108).jpg;62;18;0;60;22;1;54;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (109).jpg;67;15;1;65;19;2;57;26;1 
   H&E;H&E-NORMAL    GLOMERULUS        (110).jpg;71;13;0;69;16;1;92;-3;10 
   H&E;H&E-NORMAL    GLOMERULUS        (111).jpg;58;17;-4;57;20;-4;52;25;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (112).jpg;58;17;-5;57;18;-4;54;21;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (113).jpg;62;14;-4;62;15;-4;59;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (114).jpg;63;13;-5;63;15;-4;59;16;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (115).jpg;65;13;-4;64;15;-4;60;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (116).jpg;62;14;-5;62;15;-4;59;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (117).jpg;60;16;-5;59;17;-4;57;18;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (118).jpg;62;13;-4;61;16;-4;57;21;-4 
   H&E;H&E-NORMAL    GLOMERULUS        (234).jpg;67;25;-1;66;27;1;62;32;1 
   H&E;H&E-NORMAL    GLOMERULUS        (235).jpg;68;24;-1;67;26;1;61;35;1 
   H&E;H&E-NORMAL    GLOMERULUS        (236).jpg;67;32;1;66;35;2;64;39;1 
   H&E;H&E-NORMAL    GLOMERULUS        (237).jpg;59;22;-3;58;24;-1;54;27;0 
   H&E;H&E-NORMAL    GLOMERULUS        (238).jpg;68;26;-1;68;28;1;63;30;1 
   H&E;H&E-NORMAL    GLOMERULUS        (239).jpg;67;28;0;65;31;2;61;33;1 
   H&E;H&E-NORMAL    GLOMERULUS        (240).jpg;64;27;0;62;29;2;57;31;1 
   H&E;H&E-NORMAL    GLOMERULUS        (241).jpg;63;28;1;61;31;2;58;36;2 
   H&E;H&E-NORMAL    GLOMERULUS        (242).jpg;65;24;0;65;26;1;65;29;1 
   H&E;H&E-NORMAL    GLOMERULUS        (243).jpg;69;21;0;68;24;2;63;29;1 
   H&E;H&E-NORMAL    GLOMERULUS        (244).jpg;69;25;0;69;27;2;69;30;1 
   H&E;H&E-NORMAL    GLOMERULUS        (245).jpg;67;33;1;65;37;3;61;43;3 
   H&E;H&E-NORMAL    GLOMERULUS        (246).jpg;67;27;0;66;29;2;65;33;1 
   H&E;H&E-NORMAL    GLOMERULUS        (247).jpg;68;24;0;67;26;1;65;29;1 
   H&E;H&E-NORMAL    GLOMERULUS        (248).jpg;61;17;-3;62;19;0;82;5;3 
