 VARIABLE;VALUE;PAMS  PRECISION;NOT  PAMS  PRECISION;PAMS  RECALL;NOT  PAMS  RECALL;PAMS  F1-SCORE;NOT  PAMS  F1-SCORE 
 Average  of  H;150;      1.00;      0.97;    0.16;    1.00;    0.27;    0.98 
 Average  of  H;155;      1.00;      0.97;    0.26;    1.00;    0.42;    0.99 
 Average  of  H;160;      1.00;      0.97;    0.32;    1.00;    0.48;    0.99 
 Average  of  H;165;      1.00;      0.98;    0.37;    1.00;    0.54;    0.99 
 Average  of  H;170;      1.00;      0.98;    0.42;    1.00;    0.59;    0.99 
 Average  of  H;175;      1.00;      0.98;    0.42;    1.00;    0.59;    0.99 
 Average  of  H;180;      1.00;      0.98;    0.53;    1.00;    0.69;    0.99 
 Average  of  H;185;      1.00;      0.98;    0.58;    1.00;    0.73;    0.99 
 Average  of  H;190;      0.93;      0.99;    0.74;    1.00;    0.82;    0.99 
 Average  of  H;195;      0.94;      0.99;    0.79;    1.00;    0.86;    0.99 
 Average  of  H;200;      0.85;      1.00;    0.89;    0.99;    0.87;    0.99 
 Average  of  H;205;      0.86;      1.00;    0.95;    0.99;    0.90;    1.00 
 Average  of  H;210;      0.86;      1.00;    1.00;    0.99;    0.93;    1.00 
 Average  of  H;215;      0.86;      1.00;    1.00;    0.99;    0.93;    1.00 
 Average  of  H;220;      0.83;      1.00;    1.00;    0.99;    0.90;    1.00 
 Average  of  H;225;      0.79;      1.00;    1.00;    0.99;    0.88;    0.99 
 Average  of  H;230;      0.70;      1.00;    1.00;    0.98;    0.83;    0.99 
 Average  of  H;235;      0.68;      1.00;    1.00;    0.98;    0.81;    0.99 
 Average  of  H;240;      0.58;      1.00;    1.00;    0.97;    0.73;    0.99 
 Average  of  H;245;      0.46;      1.00;    1.00;    0.95;    0.63;    0.98 
 Average  of  H;250;      0.40;      1.00;    1.00;    0.94;    0.57;    0.97 
 Median  of  H;200;      1.00;      0.99;    0.68;    1.00;    0.81;    0.99 
 Median  of  H;205;      1.00;      0.99;    0.68;    1.00;    0.81;    0.99 
 Median  of  H;210;      1.00;      0.99;    0.68;    1.00;    0.81;    0.99 
 Median  of  H;215;      1.00;      0.99;    0.68;    1.00;    0.81;    0.99 
 Median  of  H;220;      1.00;      0.99;    0.74;    1.00;    0.85;    0.99 
 Median  of  H;225;      1.00;      0.99;    0.79;    1.00;    0.88;    1.00 
 Median  of  H;230;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;235;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;240;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;245;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;250;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;255;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;260;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;265;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;270;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;275;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  H;280;      0.83;      1.00;    1.00;    0.99;    0.90;    1.00 
 Median  of  H;285;      0.73;      1.00;    1.00;    0.99;    0.84;    0.99 
 Median  of  H;290;      0.49;      1.00;    1.00;    0.96;    0.66;    0.98 
 Median  of  H;295;      0.39;      1.00;    1.00;    0.94;    0.56;    0.97 
 Median  of  H;300;      0.31;      1.00;    1.00;    0.91;    0.47;    0.95 
 Average  of  A;0;      1.00;      0.97;    0.32;    1.00;    0.48;    0.99 
 Average  of  A;1;      1.00;      0.99;    0.74;    1.00;    0.85;    0.99 
 Average  of  A;2;      1.00;      0.99;    0.84;    1.00;    0.91;    1.00 
 Average  of  A;3;      1.00;      1.00;    0.95;    1.00;    0.97;    1.00 
 Average  of  A;4;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Average  of  A;5;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Average  of  A;6;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Average  of  A;7;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Average  of  A;8;      0.90;      1.00;    1.00;    1.00;    0.95;    1.00 
 Average  of  A;9;      0.79;      1.00;    1.00;    0.99;    0.88;    0.99 
 Average  of  A;10;      0.66;      1.00;    1.00;    0.98;    0.79;    0.99 
 Average  of  A;11;      0.54;      1.00;    1.00;    0.97;    0.70;    0.98 
 Average  of  A;12;      0.43;      1.00;    1.00;    0.95;    0.60;    0.97 
 Average  of  A;13;      0.28;      1.00;    1.00;    0.90;    0.43;    0.95 
 Average  of  A;14;      0.22;      1.00;    1.00;    0.86;    0.36;    0.92 
 Average  of  A;15;      0.17;      1.00;    1.00;    0.81;    0.29;    0.89 
 Average  of  A;16;      0.12;      1.00;    1.00;    0.71;    0.21;    0.83 
 Average  of  A;17;      0.10;      1.00;    1.00;    0.64;    0.18;    0.78 
 Average  of  A;18;      0.08;      1.00;    1.00;    0.54;    0.15;    0.70 
 Average  of  A;19;      0.06;      1.00;    1.00;    0.42;    0.12;    0.59 
 Average  of  A;20;      0.06;      1.00;    1.00;    0.33;    0.10;    0.49 
 Median  of  A;0;      1.00;      0.98;    0.47;    1.00;    0.64;    0.99 
 Median  of  A;1;      1.00;      0.99;    0.74;    1.00;    0.85;    0.99 
 Median  of  A;2;      1.00;      1.00;    0.95;    1.00;    0.97;    1.00 
 Median  of  A;3;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  A;4;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  A;5;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  A;6;      1.00;      1.00;    1.00;    1.00;    1.00;    1.00 
 Median  of  A;7;      0.95;      1.00;    1.00;    1.00;    0.97;    1.00 
 Median  of  A;8;      0.86;      1.00;    1.00;    0.99;    0.93;    1.00 
 Median  of  A;9;      0.70;      1.00;    1.00;    0.98;    0.83;    0.99 
 Median  of  A;10;      0.61;      1.00;    1.00;    0.98;    0.76;    0.99 
 Median  of  A;11;      0.46;      1.00;    1.00;    0.95;    0.63;    0.98 
 Median  of  A;12;      0.33;      1.00;    1.00;    0.92;    0.50;    0.96 
 Median  of  A;13;      0.26;      1.00;    1.00;    0.89;    0.41;    0.94 
 Median  of  A;14;      0.19;      1.00;    1.00;    0.83;    0.31;    0.91 
 Median  of  A;15;      0.15;      1.00;    1.00;    0.78;    0.26;    0.87 
 Median  of  A;16;      0.13;      1.00;    1.00;    0.73;    0.23;    0.85 
 Median  of  A;17;      0.11;      1.00;    1.00;    0.68;    0.20;    0.81 
 Median  of  A;18;      0.09;      1.00;    1.00;    0.62;    0.17;    0.77 
 Median  of  A;19;      0.08;      1.00;    1.00;    0.53;    0.14;    0.69 
 Median  of  A;20;      0.06;      1.00;    1.00;    0.43;    0.12;    0.60 
